file,time,memory,fixed,moving,error
logs/ants-benchmark.o693364.18,6937,9484420,10792704,76438026,
logs/ants-benchmark.o693364.19,6281,7856300,7528360,76438026,
logs/ants-benchmark.o693364.2,,32124544,85749375,180539778,
logs/ants-benchmark.o693364.20,1041,4560904,1631700,76438026,
logs/ants-benchmark.o693364.21,4385,6619348,5502900,76438026,
logs/ants-benchmark.o693364.22,652.4,4444584,690975,76438026,
logs/ants-benchmark.o693364.23,,31474724,202217000,39155508,Description: itk::ERROR: MultiThreader(0x3af6870): Exception occurred during SingleMethodExecute
logs/ants-benchmark.o693364.24,,31439476,85749375,39155508,Description: itk::ERROR: SyNImageRegistrationMethod(0x4266040): Caught exception: /opt/quarantine/ANTs/git/src/build/ITKv4-install/include/ITK-4.10/itkImportImageContainer.hxx:199:
logs/ants-benchmark.o693364.25,2.639e+04,25563664,43791300,39155508,
logs/ants-benchmark.o693364.26,1.602e+04,15549336,25323000,39155508,
logs/ants-benchmark.o693364.27,9670,8890252,12994800,39155508,
logs/ants-benchmark.o693364.28,1e+04,10545192,16050825,39155508,
logs/ants-benchmark.o693364.29,6557,7781656,10792704,39155508,
logs/ants-benchmark.o693364.3,2.891e+04,32137488,43791300,180539778,
logs/ants-benchmark.o693364.30,5222,5994664,7528360,39155508,
logs/ants-benchmark.o693364.31,1120,2798536,1631700,39155508,
logs/ants-benchmark.o693364.32,3431,4861680,5502900,39155508,
logs/ants-benchmark.o693364.33,594.2,2331936,690975,39155508,
logs/ants-benchmark.o693364.34,,31290088,202217000,22658580,Description: itk::ERROR: MultiThreader(0x49c73b0): Exception occurred during SingleMethodExecute
logs/ants-benchmark.o693364.35,,30521488,85749375,22658580,Description: itk::ERROR: SyNImageRegistrationMethod(0x38393c0): Caught exception: /opt/quarantine/ANTs/git/src/build/ITKv4-install/include/ITK-4.10/itkImportImageContainer.hxx:199:
logs/ants-benchmark.o693364.36,2.974e+04,24796668,43791300,22658580,
logs/ants-benchmark.o693364.37,1.6e+04,14748432,25323000,22658580,
logs/ants-benchmark.o693364.38,7847,8121352,12994800,22658580,
logs/ants-benchmark.o693364.39,9769,9775312,16050825,22658580,
logs/ants-benchmark.o693364.4,2.035e+04,22150216,25323000,180539778,
logs/ants-benchmark.o693364.40,6958,6943900,10792704,22658580,
logs/ants-benchmark.o693364.41,4877,5271696,7528360,22658580,
